candidate,fold,n,correct,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
without_history_fraction,3,33,17,0.5151515151515151,0.42173913043478256,0.7015737781569379,0.2548846900463104,0.12656168639659882,0.782575786113739
joint_removal,1,45,35,0.7777777777777778,0.8209876543209877,0.5556915672350473,0.1854991763830185,0.1642003208398819,0.8111733794212341
joint_removal,2,45,27,0.6,0.6336032388663968,0.7526691025740716,0.24821829795837402,0.1759101152420044,0.9915227890014648
joint_removal,3,33,16,0.48484848484848486,0.391304347826087,0.7020208422038906,0.25493571162223816,0.14110544323921204,0.7791662216186523
all13_2024_2025,1,45,34,0.7555555555555555,0.808641975308642,0.5244687670814903,0.1774093359708786,0.04194820299744606,0.9461816549301147
all13_2024_2025,2,45,28,0.6222222222222222,0.6781376518218624,0.6732273912606059,0.2310783565044403,0.12898576259613037,0.9567093849182129
all13_2024_2025,3,33,17,0.5151515151515151,0.3869565217391304,0.705870322638941,0.256153404712677,0.12868106365203857,0.798945963382721
all13_2023_2024_2025,1,45,35,0.7777777777777778,0.7983539094650206,0.5427159378861539,0.18464533984661102,0.05527602136135101,0.9410420656204224
all13_2023_2024_2025,2,45,28,0.6222222222222222,0.6761133603238867,0.6569043702888743,0.22805900871753693,0.13226723670959473,0.9290974140167236
all13_2023_2024_2025,3,33,16,0.48484848484848486,0.3782608695652174,0.7118673243088552,0.25840306282043457,0.10049647092819214,0.8341271281242371
reduced_2024_2025,1,45,32,0.7111111111111111,0.8004115226337449,0.5351461019097574,0.1824623942375183,0.039514102041721344,0.9310883283615112
reduced_2024_2025,2,45,29,0.6444444444444445,0.6761133603238867,0.6672134665715236,0.22968478500843048,0.1355142742395401,0.9499962329864502
reduced_2024_2025,3,33,17,0.5151515151515151,0.3608695652173913,0.7017367958387601,0.2547067701816559,0.12599577009677887,0.780436635017395
reduced_2023_2024_2025,1,45,35,0.7777777777777778,0.7942386831275721,0.5364487544618799,0.18221880495548248,0.053576961159706116,0.9289529323577881
reduced_2023_2024_2025,2,45,28,0.6222222222222222,0.6700404858299596,0.6579643755197531,0.22822073101997375,0.12029492110013962,0.9335759878158569
reduced_2023_2024_2025,3,33,18,0.5454545454545454,0.3565217391304348,0.705361371836855,0.2560717463493347,0.11461906135082245,0.8051716089248657
