candidate,month,n,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
all13_2025,2026-09,7,0.42857142857142855,0.4,0.6976520688255571,0.25223856858385496,0.45920395851135254,0.5675222277641296
reduced_2023_2024_2025,2026-01,24,0.625,0.7777777777777778,0.6607738349702348,0.23387556678874866,0.44112756848335266,0.5661641359329224
reduced_2023_2024_2025,2026-02,15,0.6666666666666666,0.5,0.6968910605064064,0.2518384802031814,0.42987895011901855,0.5523165464401245
reduced_2023_2024_2025,2026-03,1,0.0,,0.7304095064384237,0.2686227767839888,0.5182883143424988,0.5182883143424988
reduced_2023_2024_2025,2026-04,44,0.6590909090909091,0.6752136752136753,0.6681049052018261,0.2375339206442134,0.4275161623954773,0.5730705857276917
reduced_2023_2024_2025,2026-05,46,0.782608695652174,0.8211538461538461,0.6598670859415323,0.2334065759137058,0.431851863861084,0.5683737993240356
reduced_2023_2024_2025,2026-06,5,0.4,0.3333333333333333,0.7155560635461453,0.26119300718961486,0.43942251801490784,0.5882034301757812
reduced_2023_2024_2025,2026-07,6,0.3333333333333333,0.33333333333333337,0.7059447356645822,0.25639376234728556,0.480108380317688,0.5246883630752563
reduced_2023_2024_2025,2026-08,38,0.4473684210526316,0.4695652173913043,0.6988173536186176,0.2528294172647664,0.4311181902885437,0.5685949325561523
reduced_2023_2024_2025,2026-09,7,0.5714285714285714,0.5,0.6965967781281306,0.2517119736163162,0.45536714792251587,0.5498133897781372
reduced_2024_2025,2026-01,24,0.7083333333333334,0.7703703703703704,0.6449861807003477,0.2261231076197974,0.3943501114845276,0.5878204107284546
reduced_2024_2025,2026-02,15,0.5333333333333333,0.4318181818181818,0.7088773015807638,0.2577138165205135,0.3876118063926697,0.5754097700119019
reduced_2024_2025,2026-03,1,0.0,,0.7361235545590201,0.2714753756524466,0.521032989025116,0.521032989025116
reduced_2024_2025,2026-04,44,0.6136363636363636,0.6816239316239316,0.6554807720054944,0.23138526845125354,0.39329227805137634,0.6107044816017151
reduced_2024_2025,2026-05,46,0.7391304347826086,0.7961538461538462,0.6471613471091793,0.227140351783292,0.40437841415405273,0.6069980263710022
reduced_2024_2025,2026-06,5,0.4,0.6666666666666666,0.7217848380868792,0.26451210657868546,0.4188680946826935,0.6324180364608765
reduced_2024_2025,2026-07,6,0.3333333333333333,0.22222222222222224,0.7142039675059274,0.26051387373805407,0.4644942283630371,0.5276777744293213
reduced_2024_2025,2026-08,38,0.39473684210526316,0.4492753623188405,0.703470918022219,0.25513470958139217,0.4178236722946167,0.5853543281555176
reduced_2024_2025,2026-09,7,0.5714285714285714,0.4,0.6960066992944158,0.25145025643325536,0.4352485239505768,0.5825303196907043
reduced_2025,2026-01,24,0.6666666666666666,0.7703703703703704,0.6402040111939654,0.2237887029814167,0.3984428644180298,0.6137320399284363
reduced_2025,2026-02,15,0.4666666666666667,0.40909090909090906,0.7092995378693371,0.2579020590948716,0.3766648769378662,0.5756116509437561
reduced_2025,2026-03,1,0.0,,0.7238921329771644,0.26536774268948093,0.515138566493988,0.515138566493988
reduced_2025,2026-04,44,0.6363636363636364,0.7200854700854701,0.6460477252975004,0.2267795722153507,0.38439372181892395,0.6340214014053345
reduced_2025,2026-05,46,0.6956521739130435,0.8,0.6390431179433884,0.2231987377837768,0.3867868483066559,0.6193683743476868
reduced_2025,2026-06,5,0.4,0.5,0.7265371131012639,0.26666212542944334,0.4240119457244873,0.6567748785018921
reduced_2025,2026-07,6,0.3333333333333333,0.3333333333333333,0.7037683351010475,0.25530278105949716,0.45971930027008057,0.5375614166259766
reduced_2025,2026-08,38,0.42105263157894735,0.4231884057971015,0.7107609652164432,0.2587776211441549,0.3932879865169525,0.6094847917556763
reduced_2025,2026-09,7,0.42857142857142855,0.4,0.7124250863808508,0.2595409507852837,0.43778911232948303,0.5743535161018372
