variant,seed,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
original_lead15_9,43,0.5241157556270096,0.5584657398212513,0.6874799383863837,0.24672476045245142,0.20565524697303772,0.8785128593444824
original_lead15_9,44,0.5530546623794212,0.5614862628268785,0.702056173907054,0.2522818573455735,0.10404184460639954,0.9428680539131165
search_02,42,0.5980707395498392,0.6112628268785171,0.6824106968131127,0.24437119512966232,0.20083504915237427,0.8608260750770569
search_02,43,0.5627009646302251,0.6061113869579609,0.675332903659338,0.24150780748177017,0.08940717577934265,0.8574788570404053
search_02,44,0.6141479099678456,0.6210071168487256,0.6746647976912576,0.2407549144304217,0.2203000783920288,0.8533447980880737
search_03,42,0.5691318327974276,0.6014150943396226,0.6825521047416271,0.24455694047175747,0.19513386487960815,0.855707049369812
search_03,43,0.5755627009646302,0.6098560079443892,0.6799247585102274,0.2433839236994418,0.1756487786769867,0.8066846132278442
search_03,44,0.6045016077170418,0.6220622310493213,0.675051997797582,0.24071697025202848,0.20803499221801758,0.8141855597496033
search_04,42,0.5144694533762058,0.5762992386626945,0.6775897953194746,0.24240657537133975,0.1938980519771576,0.839492678642273
search_04,43,0.6045016077170418,0.6551638530287984,0.6541955142286483,0.23119440314922282,0.18321070075035095,0.8576992154121399
search_04,44,0.5016077170418006,0.5562313803376365,0.6868241164972348,0.24657085522111857,0.18776720762252808,0.8359542489051819
search_05,42,0.6077170418006431,0.6033184376034425,0.6849704686310043,0.24542901090524713,0.14837807416915894,0.8242230415344238
search_05,43,0.5884244372990354,0.6424611055941741,0.6609535490331077,0.23424847640203084,0.202388733625412,0.8630273938179016
search_05,44,0.5980707395498392,0.6263654419066534,0.6694436239039152,0.23816990104096672,0.19661426544189453,0.8462144136428833
search_06,42,0.6012861736334405,0.6098353194306521,0.6816399168798075,0.24400732002086592,0.19440674781799316,0.8117519021034241
search_06,43,0.6237942122186495,0.6327168156239655,0.6702193333306171,0.23828148103794808,0.08798038959503174,0.8957623839378357
search_06,44,0.5562700964630225,0.5902639854352864,0.6830285119551314,0.2444363901973735,0.16593700647354126,0.8473476767539978
search_07,42,0.6077170418006431,0.6226828864614367,0.6817869376882283,0.243721182110955,0.16998642683029175,0.8481776118278503
search_07,43,0.594855305466238,0.6390888778550149,0.6697314090977673,0.2378427709398019,0.18061614036560059,0.8455179333686829
search_07,44,0.4919614147909968,0.5424114531612049,0.6846989525463841,0.2454248922090122,0.18186083436012268,0.8576384782791138
search_08,42,0.5884244372990354,0.6255379013571665,0.6763213727197992,0.24090012992326768,0.1361733078956604,0.9133074283599854
search_08,43,0.594855305466238,0.6253723932472691,0.6737494970620879,0.24021186826431612,0.1903630793094635,0.8464800715446472
search_08,44,0.5466237942122186,0.5764647467725919,0.6898334904954282,0.24732971610699087,0.14687713980674744,0.9066245555877686
search_09,42,0.5755627009646302,0.597029129427342,0.6838507230348004,0.2449382427838018,0.1822020709514618,0.8465335369110107
search_09,43,0.617363344051447,0.6478401191658392,0.6597333421883073,0.23361347604183713,0.18882492184638977,0.8429771065711975
search_09,44,0.5241157556270096,0.5606587222773916,0.6890903241695787,0.24762139177675035,0.19109377264976501,0.8288459777832031
search_10,42,0.5916398713826366,0.625124131082423,0.6724738998713095,0.23935622305288246,0.17364594340324402,0.889619767665863
search_10,43,0.6237942122186495,0.6382820258192652,0.6680436540203177,0.2373667596073979,0.17698487639427185,0.8556874394416809
search_10,44,0.5852090032154341,0.6132489241972856,0.6792993499188238,0.24279037398723277,0.1836414635181427,0.8555375933647156
search_11,42,0.6012861736334405,0.6158970539556439,0.6767531279216222,0.24145557880530727,0.2021600902080536,0.8173563480377197
search_11,43,0.6045016077170418,0.6182555445216815,0.675638780559903,0.24105692717542854,0.1608128547668457,0.8289657831192017
search_11,44,0.617363344051447,0.6173866269447204,0.6740563325460479,0.24036688343031065,0.2288273274898529,0.7757622599601746
search_12,42,0.6141479099678456,0.6319513406156901,0.6843159854710802,0.24277168188248072,0.10230234265327454,0.9340288043022156
search_12,43,0.5691318327974276,0.5847401522674611,0.6892643055329596,0.24714555342942196,0.161557137966156,0.8929599523544312
search_12,44,0.5916398713826366,0.6202002648129759,0.6750456825572007,0.24064111345328426,0.20766562223434448,0.8470688462257385
search_13,42,0.5401929260450161,0.5772509102946044,0.6905560697781636,0.24759029498339552,0.1409662365913391,0.8992671966552734
search_13,43,0.6109324758842444,0.6376613704071499,0.6697833055580982,0.237909193464077,0.1557665765285492,0.8676916360855103
search_13,44,0.5466237942122186,0.5726166832174777,0.692822422951725,0.24783208853525898,0.057456523180007935,0.9580904245376587
search_14,42,0.5659163987138264,0.6137040714995035,0.6875898192941798,0.24602921496877903,0.06759008765220642,0.8793354034423828
search_14,43,0.5884244372990354,0.6197037404832837,0.6778023905655433,0.24215688603146143,0.07600569725036621,0.8335853219032288
search_14,44,0.5755627009646302,0.6094422376696459,0.6792435685010809,0.24291264051702455,0.15567302703857422,0.7933333516120911
search_15,42,0.5530546623794212,0.601456471367097,0.6731924452127312,0.2405108548765936,0.23649564385414124,0.7494878172874451
search_15,43,0.5144694533762058,0.5323154584574643,0.7046194854908753,0.25454320703508215,0.15961924195289612,0.883755087852478
search_15,44,0.5498392282958199,0.5831264481959616,0.6850720584216151,0.24538073144245573,0.1643928587436676,0.8696207404136658
search_16,42,0.5787781350482315,0.610890433631248,0.68169521502257,0.24320516040085058,0.15575063228607178,0.9085990190505981
