variant,period,n,correct,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
logistic_6,recent_79,79,40,0.5063291139240507,0.5558441558441558,0.7083638610874758,0.2566563651977025,0.23976246859641198,0.8378719831708935
minimal_3,all_311,311,191,0.6141479099678456,0.6224346242965906,0.6715854819463158,0.2394267245379219,0.19765213131904602,0.8288766145706177
minimal_3,development_232,232,148,0.6379310344827587,0.6548494983277593,0.6634918630443719,0.23549735384809264,0.21163381139437357,0.7757749557495117
minimal_3,recent_79,79,43,0.5443037974683544,0.5610389610389611,0.6953540842912649,0.2509661422599522,0.19765213131904602,0.8288766145706177
original_lead15_9,all_311,311,172,0.5530546623794212,0.5684376034425687,0.6865406951034171,0.24655230166403558,0.23306149244308472,0.8498406012852987
original_lead15_9,development_232,232,132,0.5689655172413793,0.580304719435154,0.6855640047374917,0.24616774019258195,0.2550201614697774,0.7814544240633646
original_lead15_9,recent_79,79,40,0.5063291139240507,0.5772727272727273,0.6894089503552482,0.24768164674476026,0.23306149244308472,0.8498406012852987
search_02,all_311,311,185,0.594855305466238,0.6186279377689508,0.6744134327441735,0.24059158151047574,0.20712950825691223,0.8465843200683594
search_02,development_232,232,147,0.6336206896551724,0.6577108881456707,0.6605497996764718,0.2340255053430227,0.20712950825691223,0.8465843200683594
search_02,recent_79,79,38,0.4810126582278481,0.5399350649350649,0.7151268868164115,0.25987423557185685,0.22442414363225302,0.8194538553555807
search_03,all_311,311,180,0.5787781350482315,0.6129179079774909,0.6782159676905318,0.24241912294741164,0.1930840015411377,0.8203520178794861
search_03,development_232,232,140,0.603448275862069,0.6430323299888516,0.666785863686942,0.23702655364344807,0.1930840015411377,0.8203520178794861
search_03,recent_79,79,40,0.5063291139240507,0.5571428571428572,0.7117828553972764,0.25825552900462106,0.2458558976650238,0.7963703473409017
search_04,all_311,311,187,0.6012861736334405,0.6217312148295266,0.6711759001813001,0.2391996095920324,0.19620317220687866,0.8443820476531982
search_04,development_232,232,147,0.6336206896551724,0.6498699368264585,0.6627266076573616,0.23524440063774193,0.19620317220687866,0.7953277627627054
