_key,league,datacompleteness,reason
LCKC|LOLTMNT03_189101,LCKC,complete,eligible
LCKC|LOLTMNT03_188256,LCKC,complete,eligible
LPL|11724-11724_game_1,LPL,partial,not_complete
LPL|11724-11724_game_2,LPL,partial,not_complete
LCKC|LOLTMNT03_189120,LCKC,complete,eligible
LPL|11724-11724_game_3,LPL,partial,not_complete
LCKC|LOLTMNT03_189138,LCKC,complete,eligible
LPL|11724-11724_game_4,LPL,partial,not_complete
HLL|LOLTMNT01_189329,HLL,complete,eligible
HLL|LOLTMNT01_190305,HLL,complete,eligible
HLL|LOLTMNT01_189338,HLL,complete,eligible
HLL|LOLTMNT01_190317,HLL,complete,eligible
LVP SL|LOLTMNT03_188414,LVP SL,complete,eligible
PRM|LOLTMNT06_95554,PRM,complete,eligible
LVP SL|LOLTMNT03_189278,LVP SL,complete,eligible
PRM|LOLTMNT06_96575,PRM,complete,eligible
LVP SL|LOLTMNT03_188451,LVP SL,complete,eligible
PRM|LOLTMNT06_95563,PRM,complete,eligible
LVP SL|LOLTMNT03_189330,LVP SL,complete,eligible
LVP SL|LOLTMNT03_189341,LVP SL,complete,eligible
PRM|LOLTMNT06_96577,PRM,complete,eligible
LCK|LOLTMNT03_188641,LCK,complete,eligible
LCK|LOLTMNT03_188645,LCK,complete,eligible
LPL|11725-11725_game_1,LPL,partial,not_complete
LCK|LOLTMNT03_188655,LCK,complete,eligible
LPL|11725-11725_game_2,LPL,partial,not_complete
LCK|LOLTMNT03_188679,LCK,complete,eligible
LPL|11725-11725_game_3,LPL,partial,not_complete
LCK|LOLTMNT03_189517,LCK,complete,eligible
LCK|LOLTMNT03_188722,LCK,complete,eligible
HLL|LOLTMNT01_190386,HLL,complete,eligible
HLL|LOLTMNT01_190394,HLL,complete,eligible
HLL|LOLTMNT01_190396,HLL,complete,eligible
LFL|LOLTMNT06_95624,LFL,complete,eligible
LVP SL|LOLTMNT03_188815,LVP SL,complete,eligible
PRM|LOLTMNT06_95625,PRM,complete,eligible
HLL|LOLTMNT01_189428,HLL,complete,eligible
NLC|LOLTMNT06_96666,NLC,complete,eligible
LIT|LOLTMNT06_96669,LIT,complete,eligible
LFL|LOLTMNT06_96685,LFL,complete,eligible
LVP SL|LOLTMNT03_188828,LVP SL,complete,eligible
PRM|LOLTMNT06_95658,PRM,complete,eligible
LIT|LOLTMNT06_96689,LIT,complete,eligible
NLC|LOLTMNT06_95660,NLC,complete,eligible
LVP SL|LOLTMNT03_188838,LVP SL,complete,eligible
LIT|LOLTMNT06_96697,LIT,complete,eligible
LFL|LOLTMNT06_95665,LFL,complete,eligible
PRM|LOLTMNT06_95676,PRM,complete,eligible
NLC|LOLTMNT06_96709,NLC,complete,eligible
LVP SL|LOLTMNT03_188850,LVP SL,complete,eligible
LFL|LOLTMNT06_96715,LFL,complete,eligible
NLC|LOLTMNT06_95678,NLC,complete,eligible
PRM|LOLTMNT03_188860,PRM,complete,eligible
LVP SL|LOLTMNT03_188862,LVP SL,complete,eligible
NLC|LOLTMNT06_96717,NLC,complete,eligible
PRM|LOLTMNT03_188863,PRM,complete,eligible
PRM|LOLTMNT03_188864,PRM,complete,eligible
LCKC|LOLTMNT03_188931,LCKC,complete,eligible
LCKC|LOLTMNT03_189734,LCKC,complete,eligible
LCKC|LOLTMNT03_189728,LCKC,complete,eligible
LCKC|LOLTMNT03_188945,LCKC,complete,eligible
LCKC|LOLTMNT03_188947,LCKC,complete,eligible
LCKC|LOLTMNT03_189744,LCKC,complete,eligible
LCKC|LOLTMNT03_189753,LCKC,complete,eligible
LCK|LOLTMNT03_189773,LCK,complete,eligible
LCK|LOLTMNT03_189783,LCK,complete,eligible
LPL|11738-11738_game_1,LPL,partial,not_complete
LPL|11738-11738_game_2,LPL,partial,not_complete
LCK|LOLTMNT03_190012,LCK,complete,eligible
LPL|11738-11738_game_3,LPL,partial,not_complete
LCK|LOLTMNT03_190023,LCK,complete,eligible
LPL|11738-11738_game_4,LPL,partial,not_complete
LPL|11738-11738_game_5,LPL,partial,not_complete
HLL|LOLTMNT01_189496,HLL,complete,eligible
TCL|LOLTMNT06_95719,TCL,complete,eligible
HLL|LOLTMNT01_189502,HLL,complete,eligible
TCL|LOLTMNT06_95723,TCL,complete,eligible
HLL|LOLTMNT01_189522,HLL,complete,eligible
HW|LOLTMNT01_189523,HW,complete,eligible
HLL|LOLTMNT01_189529,HLL,complete,eligible
TCL|LOLTMNT06_96750,TCL,complete,eligible
LFL|LOLTMNT06_95728,LFL,complete,eligible
LVP SL|LOLTMNT03_189909,LVP SL,complete,eligible
LIT|LOLTMNT06_96747,LIT,complete,eligible
NLC|LOLTMNT06_95741,NLC,complete,eligible
HW|LOLTMNT01_190509,HW,complete,eligible
LFL|LOLTMNT06_96768,LFL,complete,eligible
