_key,league,date,reason
2025|LCK|LOLTMNT01_233579,LCK,2025-04-26 09:17:00,eligible
2025|LPL|12012-12012_game_1,LPL,2025-04-26 09:24:24,not_complete
2025|LCK|LOLTMNT01_232817,LCK,2025-04-26 10:06:26,eligible
2025|LPL|12012-12012_game_2,LPL,2025-04-26 10:15:45,not_complete
2025|LPL|12012-12012_game_3,LPL,2025-04-26 11:04:35,not_complete
2025|LPL|12013-12013_game_1,LPL,2025-04-26 12:25:03,not_complete
2025|LPL|12013-12013_game_2,LPL,2025-04-26 13:21:02,not_complete
2025|LEC|LOLTMNT04_108350,LEC,2025-04-26 13:32:18,eligible
2025|LPL|12013-12013_game_3,LPL,2025-04-26 14:15:42,not_complete
2025|LEC|LOLTMNT04_106786,LEC,2025-04-26 14:28:40,eligible
2025|LEC|LOLTMNT04_108362,LEC,2025-04-26 15:20:43,eligible
2025|LEC|LOLTMNT04_106797,LEC,2025-04-26 16:51:50,eligible
2025|LEC|LOLTMNT04_108377,LEC,2025-04-26 17:50:12,eligible
2025|LEC|LOLTMNT04_106812,LEC,2025-04-26 18:41:09,eligible
2025|LTA N|LOLTMNT01_234319,LTA N,2025-04-26 20:08:33,eligible
2025|LTA N|LOLTMNT01_234353,LTA N,2025-04-26 21:16:22,eligible
2025|LTA N|LOLTMNT01_235002,LTA N,2025-04-26 22:04:54,eligible
2025|LTA N|LOLTMNT01_235009,LTA N,2025-04-26 22:55:43,eligible
2025|LCK|LOLTMNT01_234523,LCK,2025-04-27 06:05:50,eligible
2025|LCK|LOLTMNT01_234559,LCK,2025-04-27 07:05:30,eligible
2025|LPL|12014-12014_game_1,LPL,2025-04-27 07:48:11,not_complete
2025|LCK|LOLTMNT01_234587,LCK,2025-04-27 07:50:45,eligible
2025|LPL|12014-12014_game_2,LPL,2025-04-27 08:50:32,not_complete
2025|LCK|LOLTMNT01_235231,LCK,2025-04-27 09:10:52,eligible
2025|LCK|LOLTMNT01_235270,LCK,2025-04-27 10:09:36,eligible
2025|LPL|12015-12015_game_1,LPL,2025-04-27 10:14:12,not_complete
2025|LCK|LOLTMNT01_235289,LCK,2025-04-27 11:06:05,eligible
2025|LPL|12015-12015_game_2,LPL,2025-04-27 11:10:43,not_complete
2025|LPL|12015-12015_game_3,LPL,2025-04-27 12:03:02,not_complete
2025|LEC|LOLTMNT04_106845,LEC,2025-04-27 13:19:45,eligible
2025|LPL|12016-12016_game_1,LPL,2025-04-27 13:26:03,not_complete
2025|LEC|LOLTMNT04_108428,LEC,2025-04-27 14:15:31,eligible
2025|LPL|12016-12016_game_2,LPL,2025-04-27 14:22:20,not_complete
2025|LEC|LOLTMNT04_106860,LEC,2025-04-27 15:11:18,eligible
2025|LPL|12016-12016_game_3,LPL,2025-04-27 15:28:27,not_complete
2025|LEC|LOLTMNT04_106881,LEC,2025-04-27 16:42:44,eligible
2025|LEC|LOLTMNT04_108453,LEC,2025-04-27 17:49:02,eligible
2025|LEC|LOLTMNT04_106898,LEC,2025-04-27 18:40:48,eligible
2025|LTA N|LOLTMNT01_235596,LTA N,2025-04-27 20:05:47,eligible
2025|LTA N|LOLTMNT01_235618,LTA N,2025-04-27 20:51:24,eligible
2025|LTA N|LOLTMNT01_235630,LTA N,2025-04-27 21:53:01,eligible
2025|LTA N|LOLTMNT01_235647,LTA N,2025-04-27 22:45:49,eligible
2025|LTA N|LOLTMNT01_236128,LTA N,2025-04-27 23:47:01,eligible
2025|LPL|12017-12017_game_1,LPL,2025-04-28 09:19:34,not_complete
2025|LPL|12017-12017_game_2,LPL,2025-04-28 10:10:45,not_complete
2025|LPL|12018-12018_game_1,LPL,2025-04-28 11:27:05,not_complete
2025|LPL|12018-12018_game_2,LPL,2025-04-28 12:19:17,not_complete
2025|LPL|12018-12018_game_3,LPL,2025-04-28 13:07:22,not_complete
2025|LEC|LOLTMNT04_108493,LEC,2025-04-28 15:08:13,eligible
2025|LEC|LOLTMNT04_106945,LEC,2025-04-28 16:10:12,eligible
2025|LEC|LOLTMNT04_108498,LEC,2025-04-28 17:09:03,eligible
2025|LEC|LOLTMNT04_106968,LEC,2025-04-28 18:06:44,eligible
2025|LEC|LOLTMNT04_106978,LEC,2025-04-28 19:02:43,eligible
2025|LPL|12019-12019_game_1,LPL,2025-04-29 09:25:19,not_complete
2025|LPL|12019-12019_game_2,LPL,2025-04-29 10:54:28,not_complete
2025|LPL|12019-12019_game_3,LPL,2025-04-29 11:44:43,not_complete
2025|LPL|12021-12021_game_1,LPL,2025-04-29 13:04:27,not_complete
2025|LPL|12021-12021_game_2,LPL,2025-04-29 13:59:55,not_complete
2025|LPL|12021-12021_game_3,LPL,2025-04-29 15:00:32,not_complete
2025|LCK|LOLTMNT01_237491,LCK,2025-04-30 08:06:00,eligible
2025|LCK|LOLTMNT01_237499,LCK,2025-04-30 09:05:59,eligible
2025|LPL|12022-12022_game_1,LPL,2025-04-30 09:22:15,not_complete
2025|LCK|LOLTMNT01_238025,LCK,2025-04-30 10:01:26,eligible
2025|LPL|12022-12022_game_2,LPL,2025-04-30 10:15:15,not_complete
2025|LCK|LOLTMNT01_237541,LCK,2025-04-30 11:18:31,eligible
2025|LPL|12023-12023_game_1,LPL,2025-04-30 11:33:38,not_complete
2025|LCK|LOLTMNT01_238088,LCK,2025-04-30 12:15:07,eligible
2025|LPL|12023-12023_game_2,LPL,2025-04-30 12:29:30,not_complete
2025|LPL|12023-12023_game_3,LPL,2025-04-30 13:21:53,not_complete
2025|LCK|LOLTMNT01_238405,LCK,2025-05-01 08:05:45,eligible
2025|LCK|LOLTMNT01_237861,LCK,2025-05-01 08:56:50,eligible
2025|LPL|12024-12024_game_1,LPL,2025-05-01 09:22:44,not_complete
2025|LCK|LOLTMNT01_238430,LCK,2025-05-01 10:16:03,eligible
2025|LPL|12024-12024_game_2,LPL,2025-05-01 10:23:57,not_complete
2025|LCK|LOLTMNT01_237894,LCK,2025-05-01 11:04:25,eligible
2025|LPL|12025-12025_game_1,LPL,2025-05-01 11:40:41,not_complete
2025|LCK|LOLTMNT01_237909,LCK,2025-05-01 11:55:26,eligible
2025|LPL|12025-12025_game_2,LPL,2025-05-01 12:33:30,not_complete
2025|LCK|LOLTMNT01_238751,LCK,2025-05-02 08:05:32,eligible
2025|LCK|LOLTMNT01_238758,LCK,2025-05-02 08:59:08,eligible
2025|LPL|12026-12026_game_1,LPL,2025-05-02 09:20:14,not_complete
2025|LCK|LOLTMNT01_239267,LCK,2025-05-02 10:12:25,eligible
2025|LPL|12026-12026_game_2,LPL,2025-05-02 10:14:41,not_complete
2025|LCK|LOLTMNT01_239278,LCK,2025-05-02 11:01:02,eligible
2025|LPL|12026-12026_game_3,LPL,2025-05-02 11:03:46,not_complete
2025|LPL|12027-12027_game_1,LPL,2025-05-02 12:10:07,not_complete
2025|LPL|12027-12027_game_2,LPL,2025-05-02 13:00:20,not_complete
2025|LPL|12027-12027_game_3,LPL,2025-05-02 13:48:56,not_complete
2025|LCK|LOLTMNT01_239481,LCK,2025-05-03 06:07:27,eligible
2025|LCK|LOLTMNT01_239496,LCK,2025-05-03 07:14:56,eligible
2025|LPL|12028-12028_game_1,LPL,2025-05-03 07:20:04,not_complete
2025|LPL|12028-12028_game_2,LPL,2025-05-03 08:13:07,not_complete
2025|LCK|LOLTMNT01_239535,LCK,2025-05-03 08:29:23,eligible
2025|LCK|LOLTMNT01_240045,LCK,2025-05-03 09:27:45,eligible
2025|LPL|12029-12029_game_1,LPL,2025-05-03 09:35:38,not_complete
2025|LPL|12029-12029_game_2,LPL,2025-05-03 10:29:40,not_complete
2025|LPL|12029-12029_game_3,LPL,2025-05-03 11:29:00,not_complete
2025|LPL|12030-12030_game_1,LPL,2025-05-03 13:07:29,not_complete
2025|LPL|12030-12030_game_2,LPL,2025-05-03 14:05:07,not_complete
2025|LEC|LOLTMNT05_130051,LEC,2025-05-03 15:09:16,eligible
2025|LPL|12030-12030_game_3,LPL,2025-05-03 15:09:57,not_complete
2025|LEC|LOLTMNT05_130052,LEC,2025-05-03 16:14:25,eligible
2025|LEC|LOLTMNT05_130053,LEC,2025-05-03 17:11:00,eligible
2025|LEC|LOLTMNT05_130060,LEC,2025-05-03 18:03:58,eligible
2025|LTA N|LOLTMNT02_255058,LTA N,2025-05-03 20:08:26,eligible
2025|LTA N|LOLTMNT02_255072,LTA N,2025-05-03 20:57:55,eligible
2025|LTA N|LOLTMNT02_255088,LTA N,2025-05-03 21:51:15,eligible
2025|LTA N|LOLTMNT02_256105,LTA N,2025-05-03 23:00:48,eligible
2025|LTA N|LOLTMNT02_256109,LTA N,2025-05-03 23:56:15,eligible
2025|LCK|LOLTMNT01_240296,LCK,2025-05-04 06:06:00,eligible
2025|LCK|LOLTMNT01_240300,LCK,2025-05-04 06:59:50,eligible
2025|LCK|LOLTMNT01_239787,LCK,2025-05-04 08:20:59,eligible
2025|LCK|LOLTMNT01_240332,LCK,2025-05-04 09:15:31,eligible
2025|LPL|12031-12031_game_1,LPL,2025-05-04 09:19:31,not_complete
2025|LCK|LOLTMNT01_240336,LCK,2025-05-04 10:11:37,eligible
2025|LPL|12031-12031_game_2,LPL,2025-05-04 10:12:28,not_complete
2025|LPL|12031-12031_game_3,LPL,2025-05-04 11:06:37,not_complete
2025|LPL|12032-12032_game_1,LPL,2025-05-04 12:26:20,not_complete
2025|LPL|12032-12032_game_2,LPL,2025-05-04 13:30:46,not_complete
2025|LEC|LOLTMNT05_130075,LEC,2025-05-04 15:08:14,eligible
2025|LEC|LOLTMNT05_130076,LEC,2025-05-04 16:13:46,eligible
2025|LEC|LOLTMNT05_131093,LEC,2025-05-04 17:09:16,eligible
2025|LEC|LOLTMNT05_130088,LEC,2025-05-04 17:56:46,eligible
2025|LTA N|LOLTMNT02_256435,LTA N,2025-05-04 20:08:41,eligible
2025|LTA N|LOLTMNT02_256446,LTA N,2025-05-04 21:12:10,eligible
2025|LTA N|LOLTMNT02_256461,LTA N,2025-05-04 22:09:23,eligible
2025|LTA N|LOLTMNT02_256467,LTA N,2025-05-04 23:04:58,eligible
2025|LTA N|LOLTMNT02_256476,LTA N,2025-05-04 23:57:16,eligible
2025|LPL|12033-12033_game_1,LPL,2025-05-05 09:23:12,not_complete
2025|LPL|12033-12033_game_2,LPL,2025-05-05 10:13:57,not_complete
2025|LPL|12034-12034_game_1,LPL,2025-05-05 11:29:46,not_complete
2025|LPL|12034-12034_game_2,LPL,2025-05-05 12:35:50,not_complete
2025|LEC|LOLTMNT05_131176,LEC,2025-05-05 15:07:50,eligible
2025|LEC|LOLTMNT05_131180,LEC,2025-05-05 15:57:04,eligible
2025|LEC|LOLTMNT05_131182,LEC,2025-05-05 16:44:05,eligible
2025|LEC|LOLTMNT05_130177,LEC,2025-05-05 17:33:32,eligible
2025|LPL|12035-12035_game_1,LPL,2025-05-06 09:18:06,not_complete
2025|LPL|12035-12035_game_2,LPL,2025-05-06 10:25:00,not_complete
2025|LPL|12035-12035_game_3,LPL,2025-05-06 11:24:30,not_complete
2025|LPL|12036-12036_game_1,LPL,2025-05-06 12:52:03,not_complete
2025|LPL|12036-12036_game_2,LPL,2025-05-06 13:48:37,not_complete
2025|LPL|12036-12036_game_3,LPL,2025-05-06 14:50:47,not_complete
2025|LCK|LOLTMNT02_257604,LCK,2025-05-07 08:03:23,eligible
2025|LCK|LOLTMNT02_258642,LCK,2025-05-07 08:53:24,eligible
2025|LPL|12037-12037_game_1,LPL,2025-05-07 09:25:02,not_complete
2025|LCK|LOLTMNT02_258663,LCK,2025-05-07 09:44:51,eligible
2025|LPL|12037-12037_game_2,LPL,2025-05-07 10:26:21,not_complete
2025|LCK|LOLTMNT02_258702,LCK,2025-05-07 11:02:40,eligible
2025|LPL|12038-12038_game_1,LPL,2025-05-07 11:42:49,not_complete
2025|LCK|LOLTMNT02_258765,LCK,2025-05-07 12:07:43,eligible
2025|LPL|12038-12038_game_2,LPL,2025-05-07 12:41:30,not_complete
2025|LCK|LOLTMNT02_260233,LCK,2025-05-08 08:06:11,eligible
2025|LCK|LOLTMNT02_259265,LCK,2025-05-08 09:02:20,eligible
2025|LPL|12039-12039_game_1,LPL,2025-05-08 09:24:49,not_complete
2025|VCS|LOLTMNT02_259299,VCS,2025-05-08 10:05:18,eligible
2025|VCS|LOLTMNT02_259289,VCS,2025-05-08 10:05:34,missing_player_id
2025|LCK|LOLTMNT02_260299,LCK,2025-05-08 10:16:11,eligible
2025|LPL|12039-12039_game_2,LPL,2025-05-08 10:17:34,not_complete
2025|VCS|LOLTMNT02_259329,VCS,2025-05-08 11:04:21,missing_player_id
2025|LCK|LOLTMNT02_259331,LCK,2025-05-08 11:06:28,eligible
2025|VCS|LOLTMNT02_259356,VCS,2025-05-08 11:21:17,eligible
2025|LPL|12040-12040_game_1,LPL,2025-05-08 11:30:56,not_complete
2025|VCS|LOLTMNT02_260408,VCS,2025-05-08 12:20:36,eligible
2025|LPL|12040-12040_game_2,LPL,2025-05-08 12:22:58,not_complete
2025|VCS|LOLTMNT02_259431,VCS,2025-05-08 12:28:18,eligible
2025|VCS|LOLTMNT02_259472,VCS,2025-05-08 13:13:12,eligible
2025|VCS|LOLTMNT02_259478,VCS,2025-05-08 13:19:46,eligible
2025|LPL|12040-12040_game_3,LPL,2025-05-08 13:29:06,not_complete
2025|VCS|LOLTMNT02_259533,VCS,2025-05-08 14:19:00,eligible
2025|VCS|LOLTMNT02_260884,VCS,2025-05-09 08:03:29,eligible
2025|LCK|LOLTMNT02_259995,LCK,2025-05-09 08:06:29,eligible
2025|VCS|LOLTMNT02_259993,VCS,2025-05-09 08:06:53,missing_player_id
2025|LCK|LOLTMNT02_261033,LCK,2025-05-09 08:56:03,eligible
2025|VCS|LOLTMNT02_261035,VCS,2025-05-09 08:59:42,eligible
2025|VCS|LOLTMNT02_261047,VCS,2025-05-09 09:05:27,missing_player_id
2025|LPL|12041-12041_game_1,LPL,2025-05-09 09:20:41,not_complete
2025|VCS|LOLTMNT02_261074,VCS,2025-05-09 10:04:01,eligible
2025|LCK|LOLTMNT02_260974,LCK,2025-05-09 10:06:12,eligible
2025|VCS|LOLTMNT02_261086,VCS,2025-05-09 10:08:49,eligible
2025|LPL|12041-12041_game_2,LPL,2025-05-09 10:27:53,not_complete
2025|VCS|LOLTMNT02_261095,VCS,2025-05-09 10:50:54,eligible
2025|LCK|LOLTMNT02_260988,LCK,2025-05-09 10:58:34,eligible
2025|VCS|LOLTMNT02_260992,VCS,2025-05-09 11:02:43,eligible
2025|LPL|12041-12041_game_3,LPL,2025-05-09 11:17:09,not_complete
2025|VCS|LOLTMNT02_262025,VCS,2025-05-09 11:38:11,eligible
2025|VCS|LOLTMNT02_261128,VCS,2025-05-09 11:47:27,eligible
2025|VCS|LOLTMNT02_261152,VCS,2025-05-09 12:27:08,eligible
2025|LPL|12042-12042_game_1,LPL,2025-05-09 12:57:28,not_complete
2025|VCS|LOLTMNT02_261185,VCS,2025-05-09 13:10:34,eligible
2025|LPL|12042-12042_game_2,LPL,2025-05-09 13:56:12,not_complete
2025|LPL|12042-12042_game_3,LPL,2025-05-09 14:51:43,not_complete
2025|LCK|LOLTMNT02_262700,LCK,2025-05-10 06:05:23,eligible
2025|LCK|LOLTMNT02_261703,LCK,2025-05-10 06:57:01,eligible
2025|LPL|12043-12043_game_1,LPL,2025-05-10 07:27:09,not_complete
2025|LCK|LOLTMNT02_262780,LCK,2025-05-10 08:12:35,eligible
2025|LPL|12043-12043_game_2,LPL,2025-05-10 08:15:07,not_complete
2025|LPL|12043-12043_game_3,LPL,2025-05-10 09:05:45,not_complete
2025|LCK|LOLTMNT02_262815,LCK,2025-05-10 09:10:05,eligible
2025|VCS|LOLTMNT02_262836,VCS,2025-05-10 10:04:41,eligible
2025|LPL|12044-12044_game_1,LPL,2025-05-10 10:25:22,not_complete
